id,nationalDex,name,stage,generalForm,uniqueForm,paldeaDex,formOrder,generation,type1,type2,genderDifference,homeAvailable,shinyAvailable,hasBaby,icon,homePic,homeShinyPic
025_07,025,Pikachu,,,Alola Cap,,07,1,Electric,,FALSE,TRUE,FALSE,FALSE,025_07.png,025_07.png,025_07_S.png
025_06,025,Pikachu,,,Kalos Cap,,06,1,Electric,,FALSE,TRUE,FALSE,FALSE,025_06.png,025_06.png,025_06_S.png
025_05,025,Pikachu,,,Unova Cap,,05,1,Electric,,FALSE,TRUE,FALSE,FALSE,025_05.png,025_05.png,025_05_S.png
025_09,025,Pikachu,,,World Cap,,09,1,Electric,,FALSE,TRUE,FALSE,FALSE,025_09.png,025_09.png,025_09_S.png
026_00,026,Raichu,1,,,075,00,1,Electric,,FALSE,TRUE,TRUE,TRUE,026_00.png,026_00.png,026_00_S.png
026_01,026,Raichu,,Alolan,,,01,1,Electric,Psychic,FALSE,TRUE,TRUE,FALSE,026_01.png,026_01.png,026_01_S.png
026_00_F,026,Raichu,1,,,075,00,1,Electric,,TRUE,TRUE,TRUE,TRUE,026_00.png,026_00_F.png,026_00_F_S.png
027_00,027,Sandshrew,,,,,00,1,Ground,,FALSE,TRUE,TRUE,FALSE,027_00.png,027_00.png,027_00_S.png
027_01,027,Sandshrew,,Alolan,,,01,1,Ice,Steel,FALSE,TRUE,TRUE,FALSE,027_01.png,027_01.png,027_01_S.png
028_00,028,Sandslash,,,,,00,1,Ground,,FALSE,TRUE,TRUE,FALSE,028_00.png,028_00.png,028_00_S.png
028_01,028,Sandslash,,Alolan,,,01,1,Ice,Steel,FALSE,TRUE,TRUE,FALSE,028_01.png,028_01.png,028_01_S.png
029_00,029,Nidoran♀,,,,,00,1,Poison,,FALSE,TRUE,TRUE,FALSE,029_00.png,029_00.png,029_00_S.png
030_00,030,Nidorina,,,,,00,1,Poison,,FALSE,TRUE,TRUE,FALSE,030_00.png,030_00.png,030_00_S.png
031_00,031,Nidoqueen,,,,,00,1,Poison,Ground,FALSE,TRUE,TRUE,FALSE,031_00.png,031_00.png,031_00_S.png
032_00,032,Nidoran♂,,,,,00,1,Poison,,FALSE,TRUE,TRUE,FALSE,032_00.png,032_00.png,032_00_S.png
033_00,033,Nidorino,,,,,00,1,Poison,,FALSE,TRUE,TRUE,FALSE,033_00.png,033_00.png,033_00_S.png
034_00,034,Nidoking,,,,,00,1,Poison,Ground,FALSE,TRUE,TRUE,FALSE,034_00.png,034_00.png,034_00_S.png
035_00,035,Clefairy,,,,,00,1,Fairy,,FALSE,TRUE,TRUE,FALSE,035_00.png,035_00.png,035_00_S.png
036_00,036,Clefable,,,,,00,1,Fairy,,FALSE,TRUE,TRUE,FALSE,036_00.png,036_00.png,036_00_S.png
037_00,037,Vulpix,,,,,00,1,Fire,,FALSE,TRUE,TRUE,FALSE,037_00.png,037_00.png,037_00_S.png
037_01,037,Vulpix,,Alolan,,,01,1,Ice,,FALSE,TRUE,TRUE,FALSE,037_01.png,037_01.png,037_01_S.png
038_00,038,Ninetales,,,,,00,1,Fire,,FALSE,TRUE,TRUE,FALSE,038_00.png,038_00.png,038_00_S.png
038_01,038,Ninetales,,Alolan,,,01,1,Ice,Fairy,FALSE,TRUE,TRUE,FALSE,038_01.png,038_01.png,038_01_S.png
039_00,039,Jigglypuff,0,,,060,00,1,Normal,Fairy,FALSE,TRUE,TRUE,TRUE,039_00.png,039_00.png,039_00_S.png
040_00,040,Wigglytuff,1,,,061,00,1,Normal,Fairy,FALSE,TRUE,TRUE,TRUE,040_00.png,040_00.png,040_00_S.png
041_00,041,Zubat,,,,,00,1,Poison,Flying,FALSE,TRUE,TRUE,FALSE,041_00.png,041_00.png,041_00_S.png
041_00_F,041,Zubat,,,,,00,1,Poison,Flying,TRUE,TRUE,TRUE,FALSE,041_00.png,041_00_F.png,041_00_F_S.png
042_00,042,Golbat,,,,,00,1,Poison,Flying,FALSE,TRUE,TRUE,FALSE,042_00.png,042_00.png,042_00_S.png
042_00_F,042,Golbat,,,,,00,1,Poison,Flying,TRUE,TRUE,TRUE,FALSE,042_00.png,042_00_F.png,042_00_F_S.png
043_00,043,Oddish,,,,,00,1,Grass,Poison,FALSE,TRUE,TRUE,FALSE,043_00.png,043_00.png,043_00_S.png
044_00,044,Gloom,,,,,00,1,Grass,Poison,FALSE,TRUE,TRUE,FALSE,044_00.png,044_00.png,044_00_S.png
044_00_F,044,Gloom,,,,,00,1,Grass,Poison,TRUE,TRUE,TRUE,FALSE,044_00.png,044_00_F.png,044_00_F_S.png
045_00,045,Vileplume,,,,,00,1,Grass,Poison,FALSE,TRUE,TRUE,FALSE,045_00.png,045_00.png,045_00_S.png
045_00_F,045,Vileplume,,,,,00,1,Grass,Poison,TRUE,TRUE,TRUE,FALSE,045_00.png,045_00_F.png,045_00_F_S.png
046_00,046,Paras,,,,,00,1,Bug,Grass,FALSE,TRUE,TRUE,FALSE,046_00.png,046_00.png,046_00_S.png
047_00,047,Parasect,,,,,00,1,Bug,Grass,FALSE,TRUE,TRUE,FALSE,047_00.png,047_00.png,047_00_S.png
048_00,048,Venonat,0,,,256,00,1,Bug,Poison,FALSE,TRUE,TRUE,FALSE,048_00.png,048_00.png,048_00_S.png
049_00,049,Venomoth,1,,,257,00,1,Bug,Poison,FALSE,TRUE,TRUE,FALSE,049_00.png,049_00.png,049_00_S.png
050_00,050,Diglett,0,,,148,00,1,Ground,,FALSE,TRUE,TRUE,FALSE,050_00.png,050_00.png,050_00_S.png
050_01,050,Diglett,,Alolan,,,01,1,Ground,Steel,FALSE,TRUE,TRUE,FALSE,050_01.png,050_01.png,050_01_S.png
051_00,051,Dugtrio,1,,,149,00,1,Ground,,FALSE,TRUE,TRUE,FALSE,051_00.png,051_00.png,051_00_S.png
051_01,051,Dugtrio,,Alolan,,,01,1,Ground,Steel,FALSE,TRUE,TRUE,FALSE,051_01.png,051_01.png,051_01_S.png
052_00,052,Meowth,0,,,141,00,1,Normal,,FALSE,TRUE,TRUE,FALSE,052_00.png,052_00.png,052_00_S.png
052_01,052,Meowth,,Gigantamax,,,01,1,Normal,,FALSE,FALSE,TRUE,FALSE,052_01.png,052_01.png,052_01_S.png
052_02,052,Meowth,,Alolan,,,02,1,Dark,,FALSE,TRUE,TRUE,FALSE,052_02.png,052_02.png,052_02_S.png
052_03,052,Meowth,0,Galarian,,141,03,1,Steel,,FALSE,TRUE,TRUE,FALSE,052_03.png,052_03.png,052_03_S.png
053_00,053,Persian,1,,,142,00,1,Normal,,FALSE,TRUE,TRUE,FALSE,053_00.png,053_00.png,053_00_S.png
053_01,053,Persian,,Alolan,,,01,1,Dark,,FALSE,TRUE,TRUE,FALSE,053_01.png,053_01.png,053_01_S.png
054_00,054,Psyduck,0,,,055,00,1,Water,,FALSE,TRUE,TRUE,FALSE,054_00.png,054_00.png,054_00_S.png
055_00,055,Golduck,1,,,056,00,1,Water,,FALSE,TRUE,TRUE,FALSE,055_00.png,055_00.png,055_00_S.png
056_00,056,Mankey,0,,,158,00,1,Fighting,,FALSE,TRUE,TRUE,FALSE,056_00.png,056_00.png,056_00_S.png
057_00,057,Primeape,1,,,159,00,1,Fighting,,FALSE,TRUE,TRUE,FALSE,057_00.png,057_00.png,057_00_S.png
058_00,058,Growlithe,0,,,213,00,1,Fire,,FALSE,TRUE,TRUE,FALSE,058_00.png,058_00.png,058_00_S.png
058_01,058,Growlithe,,Hisuian,,,01,1,Fire,Rock,FALSE,TRUE,TRUE,FALSE,058_01.png,058_01.png,058_01_S.png
059_00,059,Arcanine,1,,,214,00,1,Fire,,FALSE,TRUE,TRUE,FALSE,059_00.png,059_00.png,059_00_S.png
059_01,059,Arcanine,,Hisuian,,,01,1,Fire,Rock,FALSE,TRUE,TRUE,FALSE,059_01.png,059_01.png,059_01_S.png
060_00,060,Poliwag,,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,060_00.png,060_00.png,060_00_S.png
061_00,061,Poliwhirl,,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,061_00.png,061_00.png,061_00_S.png
062_00,062,Poliwrath,,,,,00,1,Water,Fighting,FALSE,TRUE,TRUE,FALSE,062_00.png,062_00.png,062_00_S.png
063_00,063,Abra,,,,,00,1,Psychic,,FALSE,TRUE,TRUE,FALSE,063_00.png,063_00.png,063_00_S.png
064_00,064,Kadabra,,,,,00,1,Psychic,,FALSE,TRUE,TRUE,FALSE,064_00.png,064_00.png,064_00_S.png
064_00_F,064,Kadabra,,,,,00,1,Psychic,,TRUE,TRUE,TRUE,FALSE,064_00.png,064_00_F.png,064_00_F_S.png
065_00,065,Alakazam,,,,,00,1,Psychic,,FALSE,TRUE,TRUE,FALSE,065_00.png,065_00.png,065_00_S.png
065_00_F,065,Alakazam,,,,,00,1,Psychic,,TRUE,TRUE,TRUE,FALSE,065_00.png,065_00_F.png,065_00_F_S.png
065_01,065,Alakazam,,Mega,,,01,1,Psychic,,FALSE,FALSE,TRUE,FALSE,065_01.png,065_01.png,065_01_S.png
066_00,066,Machop,,,,,00,1,Fighting,,FALSE,TRUE,TRUE,FALSE,066_00.png,066_00.png,066_00_S.png
067_00,067,Machoke,,,,,00,1,Fighting,,FALSE,TRUE,TRUE,FALSE,067_00.png,067_00.png,067_00_S.png
068_00,068,Machamp,,,,,00,1,Fighting,,FALSE,TRUE,TRUE,FALSE,068_00.png,068_00.png,068_00_S.png
068_01,068,Machamp,,Gigantamax,,,01,1,Fighting,,FALSE,FALSE,TRUE,FALSE,068_01.png,068_01.png,068_01_S.png
069_00,069,Bellsprout,,,,,00,1,Grass,Poison,FALSE,TRUE,TRUE,FALSE,069_00.png,069_00.png,069_00_S.png
070_00,070,Weepinbell,,,,,00,1,Grass,Poison,FALSE,TRUE,TRUE,FALSE,070_00.png,070_00.png,070_00_S.png
071_00,071,Victreebel,,,,,00,1,Grass,Poison,FALSE,TRUE,TRUE,FALSE,071_00.png,071_00.png,071_00_S.png
072_00,072,Tentacool,,,,,00,1,Water,Poison,FALSE,TRUE,TRUE,FALSE,072_00.png,072_00.png,072_00_S.png
073_00,073,Tentacruel,,,,,00,1,Water,Poison,FALSE,TRUE,TRUE,FALSE,073_00.png,073_00.png,073_00_S.png
074_00,074,Geodude,,,,,00,1,Rock,Ground,FALSE,TRUE,TRUE,FALSE,074_00.png,074_00.png,074_00_S.png
074_01,074,Geodude,,Alolan,,,01,1,Rock,Electric,FALSE,TRUE,TRUE,FALSE,074_01.png,074_01.png,074_01_S.png
075_00,075,Graveler,,,,,00,1,Rock,Ground,FALSE,TRUE,TRUE,FALSE,075_00.png,075_00.png,075_00_S.png
075_01,075,Graveler,,Alolan,,,01,1,Rock,Electric,FALSE,TRUE,TRUE,FALSE,075_01.png,075_01.png,075_01_S.png
076_00,076,Golem,,,,,00,1,Rock,Ground,FALSE,TRUE,TRUE,FALSE,076_00.png,076_00.png,076_00_S.png
076_01,076,Golem,,Alolan,,,01,1,Rock,Electric,FALSE,TRUE,TRUE,FALSE,076_01.png,076_01.png,076_01_S.png
077_00,077,Ponyta,,,,,00,1,Fire,,FALSE,TRUE,TRUE,FALSE,077_00.png,077_00.png,077_00_S.png
077_01,077,Ponyta,,Galarian,,,01,1,Psychic,,FALSE,TRUE,TRUE,FALSE,077_01.png,077_01.png,077_01_S.png
078_00,078,Rapidash,,,,,00,1,Fire,,FALSE,TRUE,TRUE,FALSE,078_00.png,078_00.png,078_00_S.png
078_01,078,Rapidash,,Galarian,,,01,1,Psychic,Fairy,FALSE,TRUE,TRUE,FALSE,078_01.png,078_01.png,078_01_S.png
079_00,079,Slowpoke,0,,,324,00,1,Water,Psychic,FALSE,TRUE,TRUE,FALSE,079_00.png,079_00.png,079_00_S.png
079_01,079,Slowpoke,,Galarian,,,01,1,Psychic,,FALSE,TRUE,TRUE,FALSE,079_01.png,079_01.png,079_01_S.png
080_00,080,Slowbro,1,,,325,00,1,Water,Psychic,FALSE,TRUE,TRUE,FALSE,080_00.png,080_00.png,080_00_S.png
080_01,080,Slowbro,,Mega,,,01,1,Water,Psychic,FALSE,FALSE,TRUE,FALSE,080_01.png,080_01.png,080_01_S.png
080_02,080,Slowbro,,Galarian,,,02,1,Poison,Psychic,FALSE,TRUE,TRUE,FALSE,080_02.png,080_02.png,080_02_S.png
081_00,081,Magnemite,0,,,209,00,1,Electric,Steel,FALSE,TRUE,TRUE,FALSE,081_00.png,081_00.png,081_00_S.png
082_00,082,Magneton,1,,,210,00,1,Electric,Steel,FALSE,TRUE,TRUE,FALSE,082_00.png,082_00.png,082_00_S.png
083_00,083,Farfetch'd,,,,,00,1,Normal,Flying,FALSE,TRUE,TRUE,FALSE,083_00.png,083_00.png,083_00_S.png
083_01,083,Farfetch'd,,Galarian,,,01,1,Fighting,,FALSE,TRUE,TRUE,FALSE,083_01.png,083_01.png,083_01_S.png
084_00,084,Doduo,,,,,00,1,Normal,Flying,FALSE,TRUE,TRUE,FALSE,084_00.png,084_00.png,084_00_S.png
084_00_F,084,Doduo,,,,,00,1,Normal,Flying,TRUE,TRUE,TRUE,FALSE,084_00.png,084_00_F.png,084_00_F_S.png
085_00,085,Dodrio,,,,,00,1,Normal,Flying,FALSE,TRUE,TRUE,FALSE,085_00.png,085_00.png,085_00_S.png
085_00_F,085,Dodrio,,,,,00,1,Normal,Flying,TRUE,TRUE,TRUE,FALSE,085_00.png,085_00_F.png,085_00_F_S.png
086_00,086,Seel,,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,086_00.png,086_00.png,086_00_S.png
087_00,087,Dewgong,,,,,00,1,Water,Ice,FALSE,TRUE,TRUE,FALSE,087_00.png,087_00.png,087_00_S.png
088_00,088,Grimer,0,,,194,00,1,Poison,,FALSE,TRUE,TRUE,FALSE,088_00.png,088_00.png,088_00_S.png
088_01,088,Grimer,,Alolan,,,01,1,Poison,Dark,FALSE,TRUE,TRUE,FALSE,088_01.png,088_01.png,088_01_S.png
089_00,089,Muk,1,,,195,00,1,Poison,,FALSE,TRUE,TRUE,FALSE,089_00.png,089_00.png,089_00_S.png
089_01,089,Muk,,Alolan,,,01,1,Poison,Dark,FALSE,TRUE,TRUE,FALSE,089_01.png,089_01.png,089_01_S.png
090_00,090,Shellder,0,,,329,00,1,Water,,FALSE,TRUE,TRUE,FALSE,090_00.png,090_00.png,090_00_S.png
091_00,091,Cloyster,1,,,330,00,1,Water,Ice,FALSE,TRUE,TRUE,FALSE,091_00.png,091_00.png,091_00_S.png
092_00,092,Gastly,0,,,068,00,1,Ghost,Poison,FALSE,TRUE,TRUE,FALSE,092_00.png,092_00.png,092_00_S.png
093_00,093,Haunter,1,,,069,00,1,Ghost,Poison,FALSE,TRUE,TRUE,FALSE,093_00.png,093_00.png,093_00_S.png
094_00,094,Gengar,2,,,070,00,1,Ghost,Poison,FALSE,TRUE,TRUE,FALSE,094_00.png,094_00.png,094_00_S.png
094_01,094,Gengar,,Gigantamax,,,01,1,Ghost,Poison,FALSE,FALSE,TRUE,FALSE,094_01.png,094_01.png,094_01_S.png
094_02,094,Gengar,,Mega,,,02,1,Ghost,Poison,FALSE,FALSE,TRUE,FALSE,094_02.png,094_02.png,094_02_S.png
095_00,095,Onix,,,,,00,1,Rock,Ground,FALSE,TRUE,TRUE,FALSE,095_00.png,095_00.png,095_00_S.png
096_00,096,Drowzee,0,,,066,00,1,Psychic,,FALSE,TRUE,TRUE,FALSE,096_00.png,096_00.png,096_00_S.png
097_00,097,Hypno,1,,,067,00,1,Psychic,,FALSE,TRUE,TRUE,FALSE,097_00.png,097_00.png,097_00_S.png
097_00_F,097,Hypno,1,,,067,00,1,Psychic,,TRUE,TRUE,TRUE,FALSE,097_00.png,097_00_F.png,097_00_F_S.png
098_00,098,Krabby,,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,098_00.png,098_00.png,098_00_S.png
099_00,099,Kingler,,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,099_00.png,099_00.png,099_00_S.png
099_01,099,Kingler,,Gigantamax,,,01,1,Water,,FALSE,FALSE,TRUE,FALSE,099_01.png,099_01.png,099_01_S.png
100_00,100,Voltorb,0,,,207,00,1,Electric,,FALSE,TRUE,TRUE,FALSE,100_00.png,100_00.png,100_00_S.png
100_01,100,Voltorb,,Hisuian,,,01,1,Electric,Grass,FALSE,TRUE,TRUE,FALSE,100_01.png,100_01.png,100_01_S.png
101_00,101,Electrode,1,,,208,00,1,Electric,,FALSE,TRUE,TRUE,FALSE,101_00.png,101_00.png,101_00_S.png
101_01,101,Electrode,,Hisuian,,,01,1,Electric,Grass,FALSE,TRUE,TRUE,FALSE,101_01.png,101_01.png,101_01_S.png
102_00,102,Exeggcute,,,,,00,1,Grass,Psychic,FALSE,TRUE,TRUE,FALSE,102_00.png,102_00.png,102_00_S.png
103_00,103,Exeggutor,,,,,00,1,Grass,Psychic,FALSE,TRUE,TRUE,FALSE,103_00.png,103_00.png,103_00_S.png
103_01,103,Exeggutor,,Alolan,,,01,1,Grass,Dragon,FALSE,TRUE,TRUE,FALSE,103_01.png,103_01.png,103_01_S.png
104_00,104,Cubone,,,,,00,1,Ground,,FALSE,TRUE,TRUE,FALSE,104_00.png,104_00.png,104_00_S.png
105_00,105,Marowak,,,,,00,1,Ground,,FALSE,TRUE,TRUE,FALSE,105_00.png,105_00.png,105_00_S.png
105_01,105,Marowak,,Alolan,,,01,1,Fire,Ghost,FALSE,TRUE,TRUE,FALSE,105_01.png,105_01.png,105_01_S.png
106_00,106,Hitmonlee,,,,,00,1,Fighting,,FALSE,TRUE,TRUE,FALSE,106_00.png,106_00.png,106_00_S.png
107_00,107,Hitmonchan,,,,,00,1,Fighting,,FALSE,TRUE,TRUE,FALSE,107_00.png,107_00.png,107_00_S.png
108_00,108,Lickitung,,,,,00,1,Normal,,FALSE,TRUE,TRUE,FALSE,108_00.png,108_00.png,108_00_S.png
109_00,109,Koffing,,,,,00,1,Poison,,FALSE,TRUE,TRUE,FALSE,109_00.png,109_00.png,109_00_S.png
110_00,110,Weezing,,,,,00,1,Poison,,FALSE,TRUE,TRUE,FALSE,110_00.png,110_00.png,110_00_S.png
110_01,110,Weezing,,Galarian,,,01,1,Poison,Fairy,FALSE,TRUE,TRUE,FALSE,110_01.png,110_01.png,110_01_S.png
111_00,111,Rhyhorn,,,,,00,1,Ground,Rock,FALSE,TRUE,TRUE,FALSE,111_00.png,111_00.png,111_00_S.png
111_00_F,111,Rhyhorn,,,,,00,1,Ground,Rock,TRUE,TRUE,TRUE,FALSE,111_00.png,111_00_F.png,111_00_F_S.png
112_00,112,Rhydon,,,,,00,1,Ground,Rock,FALSE,TRUE,TRUE,FALSE,112_00.png,112_00.png,112_00_S.png
112_00_F,112,Rhydon,,,,,00,1,Ground,Rock,TRUE,TRUE,TRUE,FALSE,112_00.png,112_00_F.png,112_00_F_S.png
113_00,113,Chansey,0,,,044,00,1,Normal,,FALSE,TRUE,TRUE,TRUE,113_00.png,113_00.png,113_00_S.png
114_00,114,Tangela,,,,,00,1,Grass,,FALSE,TRUE,TRUE,FALSE,114_00.png,114_00.png,114_00_S.png
115_00,115,Kangaskhan,,,,,00,1,Normal,,FALSE,TRUE,TRUE,FALSE,115_00.png,115_00.png,115_00_S.png
115_01,115,Kangaskhan,,Mega,,,01,1,Normal,,FALSE,FALSE,TRUE,FALSE,115_01.png,115_01.png,115_01_S.png
116_00,116,Horsea,,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,116_00.png,116_00.png,116_00_S.png
117_00,117,Seadra,,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,117_00.png,117_00.png,117_00_S.png
118_00,118,Goldeen,,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,118_00.png,118_00.png,118_00_S.png
118_00_F,118,Goldeen,,,,,00,1,Water,,TRUE,TRUE,TRUE,FALSE,118_00.png,118_00_F.png,118_00_F_S.png
119_00,119,Seaking,,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,119_00.png,119_00.png,119_00_S.png
119_00_F,119,Seaking,,,,,00,1,Water,,TRUE,TRUE,TRUE,FALSE,119_00.png,119_00_F.png,119_00_F_S.png
120_00,120,Staryu,,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,120_00.png,120_00.png,120_00_S.png
121_00,121,Starmie,,,,,00,1,Water,Psychic,FALSE,TRUE,TRUE,FALSE,121_00.png,121_00.png,121_00_S.png
122_00,122,Mr. Mime,,,,,00,1,Psychic,Fairy,FALSE,TRUE,TRUE,FALSE,122_00.png,122_00.png,122_00_S.png
122_01,122,Mr. Mime,,Galarian,,,01,1,Ice,Psychic,FALSE,TRUE,TRUE,FALSE,122_01.png,122_01.png,122_01_S.png
123_00,123,Scyther,0,,,260,00,1,Bug,Flying,FALSE,TRUE,TRUE,FALSE,123_00.png,123_00.png,123_00_S.png
123_00_F,123,Scyther,0,,,260,00,1,Bug,Flying,TRUE,TRUE,TRUE,FALSE,123_00.png,123_00_F.png,123_00_F_S.png
