id,name,pokemon
20,North Province (Area One),"040_00, 055_00, 057_00, 093_00, 113_00, 129_00, 136_00, 181_00, 189_00, 197_00, 217_00, 242_00, 288_00, 302_00, 326_00, 334_00, 340_00, 416_00, 423_01, 426_00, 429_00, 430_00, 442_00, 447_00, 448_00, 475_00, 586_03, 604_00, 610_00, 611_00, 627_00, 628_00, 666_19, 668_00_F, 668_00, 670_01, 670_03, 670_00, 670_04, 670_02, 673_00, 701_00, 714_00, 715_00, 735_00, 745_02, 745_01, 745_00, 750_00, 754_00, 758_00, 820_00, 847_00, 871_00, 873_00, 876_00_F, 876_00, 879_00, 886_00, 1025_00, 1059_00, 1068_00, 1062_00, 1079_00, 1043_00, 1030_00, 1031_00, 1105_00, 1033_00, 1034_00, 1047_00, 1070_00, 1029_00, 1065_00"
22,North Province (Area Three),"051_00, 055_00, 097_00, 113_00, 134_00, 189_00, 192_00, 196_00, 197_00, 242_00, 278_00, 416_00, 423_01, 430_00, 549_00, 666_19, 670_01, 670_03, 670_00, 670_04, 670_02, 671_00, 671_04, 671_02, 671_03, 671_01, 673_00, 701_00, 702_00, 754_00, 758_00, 847_00, 871_00, 875_00, 879_00, 886_00, 1025_00, 1059_00, 1040_00, 1068_00, 1045_00, 1043_00, 1105_00, 1034_00"
21,North Province (Area Two),"049_00, 051_00, 058_00, 059_00, 113_00, 123_00, 134_00, 147_00, 149_00, 189_00, 192_00, 197_00, 214_00, 216_00, 217_00, 229_00, 242_00, 289_00, 323_00, 326_00, 334_00, 372_00, 402_00, 405_00, 416_00, 429_00, 430_00, 437_00, 444_00, 448_00, 590_00, 591_00, 624_00, 625_00, 627_00, 633_00, 634_00, 666_19, 670_01, 670_03, 670_00, 670_04, 670_02, 673_00, 701_00, 714_00, 715_00, 754_00, 758_00, 765_00, 766_00, 870_00, 879_00, 886_00, 1023_00, 1025_00, 1068_00, 1077_00, 1073_00, 1047_00, 1070_00"
28,Socarrat Trail,"026_00, 135_00, 185_00_F, 205_00, 214_00, 289_00, 430_00, 442_00, 470_00, 571_00, 586_02, 591_00, 701_00, 753_00, 754_00, 1023_00, 1073_00, 1079_00, 1110_00, 1111_00, 1105_00"
8,South Paldean Sea,"090_00, 091_00, 129_00, 130_00, 211_00, 278_00, 370_00, 418_00_F, 419_00, 603_00, 690_00, 692_00, 693_00, 846_00, 847_00, 1061_00, 1037_00"
6,South Province (Area Five),
5,South Province (Area Four),
2,South Province (Area One),"054_00, 056_00, 079_00, 092_00, 129_00, 172_00, 174_00, 183_00, 187_00, 191_00, 194_01, 198_00_F, 200_00, 206_00, 234_00, 278_00, 280_00, 283_00, 284_00, 287_00, 296_00, 298_00, 371_00, 396_00, 415_00_F, 417_00, 418_00_F, 425_00, 438_00, 440_00, 550_01, 550_00, 585_00, 627_00, 661_00, 662_00, 664_00, 665_00, 667_00, 669_01, 669_00, 669_04, 669_02, 669_03, 670_01, 670_03, 670_00, 670_04, 670_02, 672_00, 704_00, 734_00, 741_01, 744_00, 749_00, 753_00, 761_00, 775_00, 819_00, 821_00, 822_00, 833_00, 840_00, 846_00, 856_00, 885_00, 1019_00, 1022_00, 1058_00, 1059_00, 1074_00, 1064_02, 1064_03, 1064_01, 1064_00, 1044_00, 1076_00, 1072_00, 1110_00, 1030_00, 1033_00, 1065_00"
7,South Province (Area Six),
4,South Province (Area Three),"058_00, 092_00, 096_00, 129_00, 188_00, 198_00_F, 200_00, 206_00, 234_00, 285_00, 287_00, 288_00, 296_00, 316_00_F, 325_00, 333_00, 335_00, 336_00, 371_00, 403_00, 404_00, 417_00, 425_00, 434_00, 436_00, 440_00, 550_01, 550_00, 585_00, 610_00, 627_00, 628_00, 662_00, 667_00, 672_00, 704_00, 734_00, 735_00, 821_00, 822_00, 1019_00, 1020_00, 1022_00, 1024_00, 1058_00, 1059_00, 1067_00, 1107_00, 1044_00, 1110_00, 1066_00, 1104_00"
3,South Province (Area Two),"025_00_F, 039_00, 050_00, 051_00, 054_00, 096_00, 133_00_F, 172_00, 174_00, 179_00, 183_00, 187_00, 191_00, 194_01, 198_00, 200_00, 231_00, 283_00, 298_00, 339_00, 396_00, 397_00_F, 401_00, 415_00_F, 416_00, 417_00, 418_00_F, 425_00, 436_00, 438_00, 440_00, 447_00, 585_00, 661_00, 672_00, 749_00, 761_00, 819_00, 833_00, 840_00, 856_00, 1019_00, 1022_00, 1024_00, 1058_00, 1074_00, 1039_00, 1044_00, 1076_00, 1072_00, 1104_00"
24,Tagtree Thicket,
14,West Paldean Sea,
11,West Province (Area One),
13,West Province (Area Three),
12,West Province (Area Two),
